"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","pct_white","pct_black","pct_asian","pct_hispanic","pct_age17","pct_age65","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","vehicle_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate","renter_rate","no_phone_rate","elderly_alone_rate","alt_housing_rate","old_housing_rate","n.y"
"cluster",0.200939291829109,0.174681640266784,0.231143958059019,"White / High income",8,0,0.394017261404141,82,0.3731,0.637156390179069,0.018860975503048,0.101036049236708,0.188814443411854,0.198281834779506,0.183789104102116,0.0695395340796951,97526,0.0479507614801433,0.0642691452532726,0.0457875545179307,0.0414597826782985,0.0313300894244389,0.0995003119128477,0.00096316211871628,0.314451681944986,0.489370342867134,0.0595076482414559,0.329177771283705,0.013536388971141,0.25234380232373,0.012120874730809,0.706476371423508,82
"cluster",0.1851238746394,0.160700450098726,0.213259248652142,"White / High income",29,0,0.313599505361957,81,0.145,0.574044140503575,0.0150844825151786,0.213528814051386,0.108887773583259,0.246938211731483,0.151165323458941,0.0432592438720399,140864,0.0422401518747034,0.0332395991059197,0.0269303490214114,0.0236634531113059,0.0298196948682386,0.070960902912016,0.000945179584120983,0.285383022774327,0.449656035021889,0.0378324468085106,0.249742639489397,0.0101156069364162,0.188272921108742,0.00172413793103448,0.3158953722334,81
"cluster",0.184138334606,0.160168710763119,0.211695457468293,"Hispanic / Younger / Low income",5,0,0.730746678608748,88,0.9629,0.0914811866518305,0.09931333709591,0.0503437943260678,0.638904471420106,0.278390045403107,0.0917088207986929,0.277409721567864,40883,0.0943167176807575,0.377635417447667,0.146459339850246,0.125052695510261,0.197019803803288,0.11604412917466,0.0197620747101698,0.385799513206289,0.603977409327245,0.09266245135502,0.643552322476407,0.0249944459736244,0.236428599609924,0.00909867410948168,0.795835188286096,88
"cluster",0.181619492304206,0.158127356240282,0.208601886993896,"Mixed racial composition / Mid-high income",20,0,0.527105197401299,92,0.6281,0.261980625091457,0.0295254652480248,0.1834961319987,0.363624103334973,0.209325316007269,0.146371418116344,0.102152665926755,80382.5,0.0530876942733847,0.14518125362861,0.0759202206077387,0.0473912646426972,0.0905683641583545,0.0955368075011526,0.0061128814805736,0.320459976048757,0.527783540934471,0.0605296764347419,0.408939171507324,0.0154921869620871,0.193339217949133,0.0149716944769038,0.775832414699906,92
"cluster",0.174782018216839,0.150746388393884,0.202650395751312,"White / High income",9,0,0.357955438536889,58,0.3044,0.4755894008678,0.0260109358038132,0.293771274880149,0.111890258793485,0.193710981798277,0.144712453246343,0.0720138527540789,122848,0.0400567394226495,0.0431700424549006,0.0350698055138969,0.0641608824415837,0.0547166435645933,0.0804207507183334,0.00253621138488441,0.273855742882995,0.386823493281862,0.0294486401209315,0.530574167374025,0.018294546869161,0.291066325741672,0.00159461658372625,0.758063238762905,58
"cluster",0.170298513023032,0.146130319333032,0.198463851896006,"White / High income",25,0,0.437346309423685,41,0.3848,0.455605611313869,0.058664447680466,0.110983645134722,0.300994964361301,0.258359174868545,0.122655854029397,0.0713708117990367,93515,0.0587264402087105,0.0916277398490837,0.0506830951769773,0.0261141685550879,0.0368527878377841,0.0972020562728093,0.00162632737013298,0.299044406970208,0.498732894069944,0.0717828243278517,0.245098871255198,0.0138334889247221,0.174051821254225,0.0239548228436105,0.188566073102156,41
"cluster",0.169270172471733,0.144522596968413,0.198255713117435,"Mixed racial composition / High income",14,0,0.424209914347845,37,0.3725,0.251644286105782,0.0485756716619414,0.323234506007434,0.234432714794658,0.220737913486005,0.118213012177891,0.0641091432505163,105087,0.0504708097928437,0.0938809723386421,0.0462962962962963,0.0274374529162206,0.0623369268420946,0.0780188127278455,0.00338845215505557,0.314329501915709,0.493469619534355,0.0510866709207612,0.281197681905988,0.011264367816092,0.123003412969283,0.00451825619733789,0.460851760851761,37
"cluster",0.167418727260044,0.145595649029183,0.192512908139402,"Hispanic / Mid-low income",17,0,0.633637130288471,81,0.8515,0.193421284080915,0.0413865190123736,0.137751921878246,0.502926243168869,0.228619609732595,0.11675764501445,0.174085774459123,59564,0.06385345594779,0.224723561100085,0.118800625266449,0.0743838028169014,0.144857859531773,0.101713122632442,0.0120055347550057,0.350360484736923,0.583812847844543,0.0778221074865055,0.579060913705584,0.0194674814491488,0.23161234496683,0.0165349721978344,0.750716177503919,81
"cluster",0.144957154629169,0.125318996657703,0.16767280525313,"Hispanic / Younger / Mid-low income",3,0,0.671455723668778,56,0.8275,0.134864623899626,0.030274810229535,0.0612195990888938,0.718163345481765,0.267541346513568,0.0986402915689336,0.149179381331514,62226,0.075664997363403,0.306158735519399,0.128381512826024,0.0484235297977502,0.151678233487398,0.0961643333443976,0.0112566673152804,0.34308729013839,0.581392564890497,0.108684153994389,0.452313142656352,0.0164850890027894,0.165563636844382,0.0493362204933841,0.575640863101078,56
"cluster",0.113869219868435,0.0887582880066969,0.14608458612705,"White / Mid-low income",21,0,0.313324646432544,31,-999,0.489984591679507,0.0846625766871166,0.0952380952380952,0.210048553937091,0.023220287198289,0,0.23493558664635,54653,0.0925066312997347,0,0.022294725394236,0,0.00414293112377007,0.0437785321315697,0,0.114882453546193,0.606590062767289,0,0.807186678352322,0,0.235714285714286,0,0.300569800569801,31
