cluster,cluster_label,vulnerability_score,n_zcta,variable,cluster_median,display_label,theme,n_clusters_observed,median_center,median_sd,standardized_median,row_order,column_order
3,Hispanic / Mid-low income,0.585511841100076,34,outdoor_worker_rate,0.06345540140562,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,0.2599206880937425,3,20
13,Hispanic / Mid-low income,0.676978810663021,19,pct_black,0.0149146802136251,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.722716578428768,4,1
13,Hispanic / Mid-low income,0.676978810663021,19,pct_hispanic,0.752703899003118,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,1.810309044696554,4,2
13,Hispanic / Mid-low income,0.676978810663021,19,pct_white,0.0716083384776105,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,-1.2377108315038907,4,3
13,Hispanic / Mid-low income,0.676978810663021,19,pct_asian,0.11177663993817,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.30874607029696965,4,4
13,Hispanic / Mid-low income,0.676978810663021,19,median_income,60360,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-0.40043118619582163,4,5
13,Hispanic / Mid-low income,0.676978810663021,19,education_low,0.287253782472167,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,1.147694434588459,4,6
13,Hispanic / Mid-low income,0.676978810663021,19,uninsured_rate,0.131468754266988,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,1.264688138738342,4,7
13,Hispanic / Mid-low income,0.676978810663021,19,poverty_rate,0.141281548922439,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,-0.052001725870515055,4,8
13,Hispanic / Mid-low income,0.676978810663021,19,unemployment_rate,0.0620253898324735,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-0.28743451208382964,4,9
13,Hispanic / Mid-low income,0.676978810663021,19,pct_age17,0.239444209229822,Age <18,Household,14,0.1928420108318432,0.0645451732531949,0.7220090372237408,4,10
13,Hispanic / Mid-low income,0.676978810663021,19,pct_age65,0.115238058581271,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,-0.42832523759944047,4,11
13,Hispanic / Mid-low income,0.676978810663021,19,disability_rate,0.099601869962684,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.12094968746523295,4,12
13,Hispanic / Mid-low income,0.676978810663021,19,elderly_alone_rate,0.152851063829787,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-1.093996092160157,4,13
13,Hispanic / Mid-low income,0.676978810663021,19,language_isolation,0.181108243922314,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,1.124793641554957,4,14
13,Hispanic / Mid-low income,0.676978810663021,19,no_phone_rate,0.015742718992466,No phone,Household,14,0.017067492490141105,0.005222091766650528,-0.25368636877187994,4,15
13,Hispanic / Mid-low income,0.676978810663021,19,alt_housing_rate,0.0175943810359965,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,0.07302908081477404,4,16
13,Hispanic / Mid-low income,0.676978810663021,19,old_housing_rate,0.839261529688502,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.9047444988412878,4,17
13,Hispanic / Mid-low income,0.676978810663021,19,renter_burden_rate,0.5586919635971,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,0.3561922287197783,4,18
13,Hispanic / Mid-low income,0.676978810663021,19,housing_overcrowding,0.0192053709002862,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,1.643795102770325,4,19
13,Hispanic / Mid-low income,0.676978810663021,19,outdoor_worker_rate,0.0802162693536495,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,0.8685284099536312,4,20
5,White / Older / Mid-low income,0.472876382876383,9,pct_black,0.0125391849529781,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.7702000383134435,5,1
5,White / Older / Mid-low income,0.472876382876383,9,pct_hispanic,0.238618274434893,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,-0.5026747009253215,5,2
5,White / Older / Mid-low income,0.472876382876383,9,pct_white,0.672239637756879,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,1.3660500782840437,5,3
